Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Total_Hours_Worked,Average_Hours_Per_Day,Max_Hours_Per_Day,Min_Hours_Per_Day
51,0,1,Sales,6,2,Life Sciences,1,0,1,Healthcare Representative,Married,131160,1.0,11,0,1.0,6,1,0,0,3,3,3,4,2,1923h 50min,7h 22min,7h 57min,6h 30min
31,1,2,Research & Development,10,1,Life Sciences,2,0,1,Research Scientist,Single,41890,0.0,23,1,6.0,3,5,1,4,2,4,3,2,4,2014h 0min,7h 42min,8h 33min,6h 44min
32,0,2,Research & Development,17,4,Other,3,1,4,Sales Executive,Married,193280,1.0,15,3,5.0,2,5,0,3,3,3,2,2,1,1830h 15min,7h 0min,7h 59min,6h 12min
38,0,0,Research & Development,2,5,Life Sciences,4,1,3,Human Resources,Married,83210,3.0,11,3,13.0,5,8,7,5,2,3,4,4,3,1877h 16min,7h 11min,7h 53min,6h 16min
32,0,1,Research & Development,10,1,Medical,5,1,1,Sales Executive,Single,23420,4.0,12,2,9.0,2,6,0,4,3,3,4,1,3,2090h 9min,8h 0min,8h 50min,7h 18min
46,0,1,Research & Development,8,3,Life Sciences,6,0,4,Research Director,Married,40710,3.0,13,0,28.0,5,7,7,7,3,3,3,2,2,2814h 18min,10h 46min,11h 43min,9h 48min
28,1,1,Research & Development,11,2,Medical,7,1,2,Sales Executive,Single,58130,2.0,20,1,5.0,2,0,0,0,3,4,1,3,1,1808h 0min,6h 55min,8h 5min,5h 54min
29,0,1,Research & Development,18,3,Life Sciences,8,1,2,Sales Executive,Married,31430,2.0,22,3,10.0,2,0,0,0,3,4,1,2,3,1755h 17min,6h 43min,7h 21min,5h 59min
31,0,1,Research & Development,1,3,Life Sciences,9,1,3,Laboratory Technician,Married,20440,0.0,21,0,10.0,2,9,7,8,3,4,2,4,3,1888h 43min,7h 14min,8h 1min,6h 17min
25,0,0,Research & Development,7,4,Medical,10,0,4,Laboratory Technician,Divorced,134640,1.0,13,1,6.0,2,6,1,5,3,3,2,1,3,1846h 54min,7h 4min,7h 55min,6h 19min
45,0,1,Research & Development,17,2,Medical,11,1,2,Laboratory Technician,Married,79910,0.0,13,2,21.0,2,20,4,10,2,3,3,4,3,2191h 5min,8h 23min,9h 31min,7h 32min
36,0,1,Research & Development,28,1,Life Sciences,12,1,1,Laboratory Technician,Married,33770,0.0,12,2,16.0,2,15,10,11,3,3,3,4,3,1844h 30min,7h 4min,7h 49min,6h 15min
55,0,1,Research & Development,14,4,Life Sciences,13,0,1,Sales Executive,Single,55380,0.0,17,0,37.0,2,36,4,13,3,3,4,1,3,2427h 28min,9h 18min,9h 56min,8h 24min
47,1,0,Research & Development,1,1,Medical,14,1,1,Research Scientist,Married,57620,1.0,11,2,10.0,4,10,9,9,2,3,1,2,2,2453h 46min,9h 24min,10h 28min,8h 37min
28,0,1,Research & Development,1,3,Life Sciences,15,1,1,Manufacturing Director,Married,25920,1.0,14,0,5.0,2,5,0,4,3,3,4,4,2,1590h 27min,6h 5min,7h 8min,5h 19min
37,0,1,Research & Development,1,3,Life Sciences,16,1,2,Healthcare Representative,Married,53460,4.0,11,0,7.0,2,5,0,1,3,3,3,4,4,1751h 27min,6h 42min,7h 36min,5h 54min
21,0,1,Research & Development,3,2,Life Sciences,17,1,1,Laboratory Technician,Single,42130,1.0,12,3,3.0,3,3,1,0,2,3,4,3,4,1725h 24min,6h 36min,7h 38min,5h 47min
37,0,0,Research & Development,1,3,Medical,18,1,2,Sales Executive,Divorced,41270,2.0,13,1,15.0,2,5,0,2,3,3,1,4,3,2874h 26min,11h 0min,11h 41min,10h 11min
35,0,1,Sales,7,4,Life Sciences,19,1,1,Sales Representative,Divorced,24380,7.0,16,0,10.0,5,7,6,2,2,3,2,2,2,1818h 24min,6h 58min,7h 59min,6h 2min
38,0,1,Research & Development,8,3,Life Sciences,20,0,1,Manager,Divorced,68700,1.0,11,1,8.0,5,8,7,7,3,3,1,1,3,2425h 1min,9h 17min,10h 9min,8h 28min
26,0,2,Research & Development,1,4,Other,21,1,2,Laboratory Technician,Divorced,104470,1.0,18,0,6.0,3,6,1,4,3,3,3,2,1,1981h 51min,7h 35min,8h 24min,6h 51min
50,0,1,Sales,8,4,Life Sciences,22,1,1,Research Scientist,Divorced,96670,3.0,23,0,28.0,2,10,1,6,2,4,1,2,2,1567h 36min,6h 0min,6h 48min,5h 14min
53,0,1,Research & Development,11,4,Life Sciences,23,0,2,Research Scientist,Married,21480,3.0,11,0,21.0,2,5,1,3,3,3,3,3,2,2194h 24min,8h 24min,9h 24min,7h 39min
42,0,1,Research & Development,4,4,Life Sciences,24,1,1,Manufacturing Director,Married,89260,1.0,14,0,,4,20,11,6,1,3,2,3,3,1775h 44min,6h 48min,7h 30min,6h 2min
29,0,2,Research & Development,16,4,Medical,25,1,1,Laboratory Technician,Single,65130,1.0,11,1,10.0,2,10,0,9,3,3,2,4,2,1852h 30min,7h 5min,8h 3min,6h 15min
55,0,1,Research & Development,1,4,Other,26,0,1,Research Scientist,Married,67990,3.0,11,0,12.0,2,10,0,8,3,3,2,4,3,2443h 50min,9h 21min,10h 11min,8h 28min
26,0,2,Research & Development,9,3,Life Sciences,27,0,1,Manager,Married,162910,1.0,22,0,5.0,3,5,3,3,3,4,1,1,3,2867h 1min,10h 59min,11h 58min,10h 13min
37,0,1,Sales,5,1,Marketing,28,1,1,Research Scientist,Single,27050,1.0,11,0,17.0,2,17,5,7,3,3,4,4,3,1986h 43min,7h 36min,8h 20min,6h 51min
44,1,2,Research & Development,1,2,Medical,29,1,2,Research Scientist,Divorced,103330,3.0,14,1,19.0,2,1,0,0,2,3,4,3,1,2866h 43min,10h 59min,11h 50min,10h 5min
38,0,1,Sales,2,3,Marketing,30,0,1,Manager,Divorced,44480,9.0,12,0,10.0,3,2,1,2,2,3,4,4,3,1782h 30min,6h 49min,7h 36min,6h 0min
26,1,1,Research & Development,4,3,Medical,31,1,3,Research Scientist,Divorced,68540,2.0,11,0,5.0,5,3,0,2,2,3,1,2,3,2639h 5min,10h 6min,10h 50min,9h 22min
28,0,1,Research & Development,7,3,Other,32,1,1,Human Resources,Single,96370,1.0,13,0,5.0,6,5,0,2,2,3,4,4,3,1751h 10min,6h 42min,7h 39min,5h 49min
49,0,2,Research & Development,1,1,Medical,33,0,2,Research Scientist,Single,35910,9.0,13,0,22.0,2,3,1,2,3,3,3,1,3,2744h 1min,10h 30min,11h 24min,9h 28min
36,0,1,Sales,5,3,Technical Degree,34,1,3,Sales Executive,Single,54050,4.0,14,0,10.0,2,8,7,7,3,3,3,2,3,1613h 45min,6h 10min,6h 53min,5h 25min
31,0,2,Research & Development,9,4,Medical,35,1,1,Sales Executive,Divorced,46840,1.0,16,1,2.0,4,2,2,2,3,3,4,2,2,1719h 53min,6h 35min,7h 29min,5h 45min
26,1,1,Research & Development,8,3,Medical,36,1,2,Manager,Single,157870,1.0,12,2,8.0,5,8,7,4,3,3,4,4,3,2680h 22min,10h 16min,11h 9min,9h 13min
37,0,2,Sales,9,1,Marketing,37,1,1,Laboratory Technician,Married,15140,1.0,14,0,4.0,3,4,1,2,3,3,2,4,2,2604h 46min,9h 58min,10h 50min,9h 18min
42,0,2,Sales,2,2,Marketing,38,1,3,Research Director,Married,29560,5.0,13,0,23.0,2,20,4,8,3,3,3,2,4,1561h 43min,5h 59min,6h 33min,5h 14min
18,1,1,Research & Development,1,4,Life Sciences,39,1,1,Sales Executive,Single,23350,1.0,14,2,0.0,3,0,0,0,2,3,3,3,3,1767h 17min,6h 46min,7h 30min,6h 0min
35,0,1,Sales,20,2,Life Sciences,40,1,1,Laboratory Technician,Married,51540,0.0,19,0,12.0,2,11,6,9,2,3,3,2,2,2006h 40min,7h 41min,8h 35min,6h 48min
36,0,2,Research & Development,8,3,Other,41,0,3,Sales Executive,Married,69620,4.0,12,2,4.0,2,1,0,0,2,3,3,3,3,1881h 19min,7h 12min,7h 56min,6h 20min
51,0,1,Research & Development,2,3,Life Sciences,42,1,2,Laboratory Technician,Divorced,56750,5.0,13,0,13.0,2,4,1,2,2,3,4,2,3,1981h 30min,7h 35min,8h 16min,6h 50min
41,0,1,Research & Development,29,1,Life Sciences,43,1,1,Laboratory Technician,Single,23790,1.0,12,0,22.0,6,22,0,4,3,3,4,2,3,1815h 32min,6h 57min,7h 58min,5h 47min
18,0,1,Sales,7,3,Life Sciences,44,1,1,Research Scientist,Single,38120,1.0,15,0,0.0,3,0,0,0,3,3,4,3,3,1827h 47min,7h 0min,7h 59min,6h 0min
28,0,1,Research & Development,9,3,Medical,45,1,1,Sales Representative,Single,46480,0.0,23,2,9.0,2,8,0,7,2,4,2,1,3,1879h 6min,7h 11min,8h 1min,6h 27min
31,0,1,Research & Development,8,1,Technical Degree,46,1,1,Manufacturing Director,Married,29360,4.0,12,1,10.0,2,8,7,7,3,3,2,4,2,1872h 17min,7h 10min,8h 1min,6h 15min
39,0,1,Sales,5,4,Marketing,47,0,2,Human Resources,Divorced,21050,0.0,20,0,19.0,3,18,3,7,3,4,3,4,2,1991h 33min,7h 37min,8h 26min,6h 40min
36,0,0,Research & Development,5,4,Life Sciences,48,1,1,Sales Executive,Married,85780,7.0,21,0,11.0,4,9,0,8,3,4,2,2,3,2044h 16min,7h 49min,8h 43min,7h 9min
32,0,1,Sales,2,3,Marketing,49,1,2,Laboratory Technician,Married,27060,1.0,21,1,13.0,4,13,4,8,3,4,4,3,2,1823h 38min,6h 59min,7h 53min,5h 57min
38,0,1,Research & Development,5,2,Life Sciences,50,0,3,Research Scientist,Married,63840,3.0,19,2,19.0,4,10,0,1,2,3,1,2,3,1804h 18min,6h 54min,7h 40min,6h 13min
58,0,0,Research & Development,2,3,Life Sciences,51,1,2,Manufacturing Director,Divorced,39680,2.0,13,2,12.0,3,5,1,2,2,3,4,3,3,2843h 5min,10h 53min,12h 3min,10h 0min
31,0,1,Research & Development,20,1,Technical Degree,52,0,3,Research Scientist,Married,99070,0.0,13,1,6.0,3,5,0,3,2,3,3,4,3,2380h 3min,9h 7min,9h 56min,8h 24min
31,0,1,Sales,7,4,Marketing,53,1,2,Sales Executive,Married,132250,3.0,21,1,9.0,2,2,1,0,3,4,1,1,3,1783h 31min,6h 50min,7h 39min,6h 1min
